iter	Logloss
0	0.5000833776
1	0.414407166
2	0.3718890434
3	0.3475672972
4	0.333530018
5	0.3248190163
6	0.3196651052
7	0.3158563152
8	0.313208038
9	0.3112969005
10	0.3097549329
11	0.3086452697
12	0.3074227615
13	0.3069537779
14	0.3061021293
15	0.3055163446
16	0.3049948848
17	0.3046449085
18	0.3044325866
19	0.3041161248
20	0.3038430701
21	0.303708421
22	0.303401496
23	0.3032056104
24	0.3029210616
25	0.3027335868
26	0.3025362648
27	0.3024390005
28	0.3023050781
29	0.3021403254
30	0.3019797575
31	0.3018297235
32	0.3017125661
33	0.3016033146
34	0.3015212527
35	0.3014500928
36	0.3013768454
37	0.3012644642
38	0.3011927163
39	0.3010804262
40	0.3010293441
41	0.3009515539
42	0.300880259
43	0.3007724014
44	0.3006868327
45	0.3006438842
46	0.3005963947
47	0.3004720223
48	0.3003597974
49	0.3002420243
50	0.3001521627
51	0.3001139294
52	0.3000236922
53	0.2999342097
54	0.2998528339
55	0.299782898
56	0.2997150639
57	0.299653774
58	0.2995884861
59	0.2994273549
60	0.2993867348
61	0.2993542591
62	0.2992529621
63	0.2991931325
64	0.2991290248
65	0.2990497813
66	0.2989884436
67	0.2988764832
68	0.2988189567
69	0.2987714201
70	0.2986472209
71	0.298535041
72	0.2984307762
73	0.298371272
74	0.2983096993
75	0.2982375164
76	0.298136119
77	0.2980612067
78	0.2980049515
79	0.2979480056
80	0.2978716946
81	0.2977809737
82	0.2977355057
83	0.2976812326
84	0.2976233895
85	0.2975463877
86	0.2975120023
87	0.2974702962
88	0.2973964803
89	0.2973647714
90	0.2973014137
91	0.297244006
92	0.2972144691
93	0.2971456999
94	0.2970570278
95	0.2969978923
96	0.296930126
97	0.2968588828
98	0.2968244664
99	0.2967922772
100	0.2967301621
101	0.2966849433
102	0.2966612882
103	0.2966148
104	0.2965667171
105	0.2965091857
106	0.2964789607
107	0.296450023
108	0.2964156765
109	0.2963628908
110	0.2963303111
111	0.2962831841
112	0.2962429202
113	0.2962118766
114	0.2961418699
115	0.2960864673
116	0.296042004
117	0.2960164888
118	0.2959644109
119	0.295931608
120	0.2958972172
121	0.2958277305
122	0.2957724549
123	0.2957394274
124	0.2956877655
125	0.2956590158
126	0.2956313736
127	0.2955835364
128	0.2955517935
129	0.2954990806
130	0.2954704491
131	0.2954282824
132	0.2954048299
133	0.2953627668
134	0.2953206739
135	0.2952898118
136	0.2952498069
137	0.2952174621
138	0.2951613722
139	0.295121372
140	0.2950837201
141	0.2950575554
142	0.2950146722
143	0.294970579
144	0.2949414843
145	0.2949175872
146	0.2948941671
147	0.2948655291
148	0.2948440226
149	0.2948135597
150	0.2947872254
151	0.2947482218
152	0.294714078
153	0.2946693716
154	0.2946383177
155	0.2945951073
156	0.2945760112
157	0.2945460644
158	0.2945141503
159	0.2944814959
160	0.294434727
161	0.2943842163
162	0.2943665951
163	0.2943345366
164	0.2943079746
165	0.2942733385
166	0.2942396069
167	0.2941984501
168	0.2941582134
169	0.2941201508
170	0.2940889218
171	0.2940569214
172	0.2940311124
173	0.2939956279
174	0.2939575915
175	0.2939330381
176	0.2939043526
177	0.2938835304
178	0.2938440862
179	0.293814799
180	0.2937876431
181	0.293758805
182	0.2937266127
183	0.2936951558
184	0.293671092
185	0.2936453741
186	0.2936010534
187	0.2935720786
188	0.2935375422
189	0.2935024742
190	0.2934685238
191	0.2934430593
192	0.2934127474
193	0.2933804305
194	0.2933563999
195	0.2933229535
196	0.29330198
197	0.2932655104
198	0.2932278163
199	0.2932045807
200	0.2931794326
201	0.2931478379
202	0.2931103546
203	0.293085919
204	0.2930631415
205	0.2930452979
206	0.2930169877
207	0.2929859168
208	0.2929591784
209	0.2929325039
210	0.2928970607
211	0.2928663283
212	0.2928327853
213	0.2928003581
214	0.2927661412
215	0.2927399261
216	0.2927121043
217	0.292683981
218	0.2926604277
219	0.2926390637
220	0.2926180689
221	0.2925886787
222	0.2925526401
223	0.2925287643
224	0.2925048279
225	0.2924748992
226	0.2924386372
227	0.2924123618
228	0.2923885708
229	0.2923600056
230	0.2923300456
231	0.2923025551
232	0.2922828672
233	0.2922563349
234	0.2922360969
235	0.2922076217
236	0.2921871818
237	0.2921711455
238	0.292136857
239	0.2921078034
240	0.2920692617
241	0.2920419352
242	0.2920222699
243	0.2920022997
244	0.2919755722
245	0.2919556063
246	0.2919271999
247	0.291901521
248	0.291880144
249	0.2918607175
250	0.2918270168
251	0.2917995729
252	0.291773803
253	0.2917521345
254	0.2917279741
255	0.291709344
256	0.2916890607
257	0.2916618875
258	0.2916353864
259	0.2916053895
260	0.2915833271
261	0.2915503391
262	0.2915304596
263	0.2914914874
264	0.2914660608
265	0.2914355668
266	0.2913977309
267	0.2913795761
268	0.2913569063
269	0.2913373121
270	0.2913180578
271	0.2912904728
272	0.2912651809
273	0.2912473036
274	0.2912270259
275	0.2912063915
276	0.2911891914
277	0.2911723001
278	0.291149168
279	0.291117787
280	0.2910893347
281	0.2910651792
282	0.2910395846
283	0.2910057365
284	0.2909757226
285	0.2909477757
286	0.290926242
287	0.2909090705
288	0.2908901881
289	0.2908679761
290	0.2908422053
291	0.2908148216
292	0.2907849805
293	0.2907564967
294	0.2907421824
295	0.2907167122
296	0.2907042384
297	0.290679555
298	0.290654972
299	0.2906269146
300	0.2906036455
301	0.2905795758
302	0.2905514635
303	0.2905264555
304	0.2905088278
305	0.2904826812
306	0.2904552796
307	0.2904327291
308	0.2904064453
309	0.2903813285
310	0.2903584915
311	0.2903371955
312	0.2903130186
313	0.2902829982
314	0.290244717
315	0.2902243404
316	0.2902039409
317	0.2901787989
318	0.2901574559
319	0.2901329401
320	0.2901137087
321	0.290087982
322	0.2900602648
323	0.2900349135
324	0.2900217993
325	0.2900006653
326	0.2899706475
327	0.2899507493
328	0.2899296769
329	0.2899044377
330	0.2898836221
331	0.2898638037
332	0.2898486055
333	0.2898276373
334	0.2898041831
335	0.2897733947
