iter	Passed	Remaining
0	33	33352
1	62	30990
2	90	29916
3	118	29466
4	149	29728
5	179	29743
6	212	30155
7	239	29728
8	267	29501
9	296	29343
10	326	29325
11	356	29351
12	385	29239
13	414	29190
14	444	29180
15	474	29167
16	503	29120
17	532	29047
18	565	29195
19	596	29250
20	625	29182
21	659	29339
22	690	29340
23	721	29320
24	752	29333
25	782	29314
26	810	29212
27	839	29133
28	866	29020
29	893	28892
30	921	28799
31	950	28758
32	979	28714
33	1009	28675
34	1035	28560
35	1064	28499
36	1092	28428
37	1119	28349
38	1147	28287
39	1176	28229
40	1206	28220
41	1233	28128
42	1263	28117
43	1292	28073
44	1317	27956
45	1346	27933
46	1373	27856
47	1402	27813
48	1431	27774
49	1460	27749
50	1490	27736
51	1517	27668
52	1547	27658
53	1577	27634
54	1604	27566
55	1633	27542
56	1663	27512
57	1690	27457
58	1717	27395
59	1745	27349
60	1774	27320
61	1802	27271
62	1831	27234
63	1858	27182
64	1886	27133
65	1913	27077
66	1942	27052
67	1971	27015
68	1998	26969
69	2027	26939
70	2055	26898
71	2083	26859
72	2110	26795
73	2136	26736
74	2163	26684
75	2193	26667
76	2223	26655
77	2253	26638
78	2280	26589
79	2306	26529
80	2335	26503
81	2361	26442
82	2387	26377
83	2413	26317
84	2443	26299
85	2473	26288
86	2499	26233
87	2526	26184
88	2550	26108
89	2577	26062
90	2603	26004
91	2631	25967
92	2656	25909
93	2681	25841
94	2706	25779
95	2733	25736
96	2759	25685
97	2785	25639
98	2811	25588
99	2839	25551
100	2863	25485
101	2889	25435
102	2915	25388
103	2940	25337
104	2968	25301
105	2992	25241
106	3019	25199
107	3045	25155
108	3072	25119
109	3101	25096
110	3134	25103
111	3164	25087
112	3196	25091
113	3228	25089
114	3258	25076
115	3285	25039
116	3311	24989
117	3340	24970
118	3366	24923
119	3393	24884
120	3418	24836
121	3445	24792
122	3472	24761
123	3498	24717
124	3527	24695
125	3552	24644
126	3575	24581
127	3600	24531
128	3628	24500
129	3654	24454
130	3680	24415
131	3706	24373
132	3732	24332
133	3759	24295
134	3787	24266
135	3812	24221
136	3843	24210
137	3875	24208
138	3907	24205
139	3937	24186
140	3967	24170
141	3995	24141
